Order_ID,Date,Product,Category,City,Quantity,Unit_Price
1001,2026-01-07,Notebook,Stationery,Lucknow,3,120
1002,2026-06-23,Tablet,Electronics,Lucknow,5,15340
1003,2026-01-08,USB Cable,Accessories,Lucknow,1,340
1004,2026-01-07,Office Chair,Furniture,Raebareli,5,8240
1005,2026-04-18,Notebook,Stationery,Raebareli,2,120
1006,2026-02-10,Keyboard,Accessories,Lucknow,4,1180
1007,2026-03-28,Tablet,Electronics,Kanpur,1,15350
1008,2026-03-30,Smartphone,Electronics,Prayagraj,5,21480
1009,2026-05-18,Laptop,Electronics,Varanasi,1,47130
1010,2026-05-22,USB Cable,Accessories,Lucknow,3,360
1011,2026-05-28,Study Table,Furniture,Prayagraj,2,6630
1012,2026-03-16,Laptop,Electronics,Kanpur,1,46600
1013,2026-03-13,Smartphone,Electronics,Varanasi,4,22300
1014,2026-04-05,Mouse,Accessories,Kanpur,3,680
1015,2026-06-05,Keyboard,Accessories,Lucknow,2,1200
1016,2026-04-29,Headphones,Electronics,Kanpur,4,2440
1017,2026-02-26,Notebook,Stationery,Raebareli,3,120
1018,2026-01-09,Laptop,Electronics,Kanpur,3,44560
1019,2026-05-26,Smartphone,Electronics,Kanpur,3,21370
1020,2026-06-14,Power Bank,Accessories,Varanasi,4,1350
1021,2026-05-24,Tablet,Electronics,Kanpur,5,15620
1022,2026-05-30,Study Table,Furniture,Varanasi,4,6410
1023,2026-05-07,Tablet,Electronics,Raebareli,1,16410
1024,2026-06-10,Smartphone,Electronics,Kanpur,2,22640
1025,2026-01-17,USB Cable,Accessories,Raebareli,4,350
1026,2026-03-06,Power Bank,Accessories,Raebareli,5,1450
1027,2026-06-24,Laptop,Electronics,Lucknow,5,46130
1028,2026-01-29,Notebook,Stationery,Prayagraj,3,120
1029,2026-03-09,Power Bank,Accessories,Lucknow,5,1440
1030,2026-06-10,Office Chair,Furniture,Lucknow,3,8790
1031,2026-02-20,Office Chair,Furniture,Raebareli,2,8390
1032,2026-05-16,Tablet,Electronics,Raebareli,1,16160
1033,2026-01-29,Power Bank,Accessories,Lucknow,3,1450
1034,2026-01-15,Keyboard,Accessories,Kanpur,2,1250
1035,2026-05-05,Smartphone,Electronics,Lucknow,1,23050
1036,2026-02-02,Office Chair,Furniture,Kanpur,4,8880
1037,2026-05-16,Tablet,Electronics,Prayagraj,5,15880
1038,2026-06-26,Headphones,Electronics,Raebareli,2,2550
1039,2026-04-23,USB Cable,Accessories,Prayagraj,5,350
1040,2026-01-17,Headphones,Electronics,Kanpur,3,2380
1041,2026-05-31,Office Chair,Furniture,Kanpur,2,8080
1042,2026-02-28,Pen Pack,Stationery,Lucknow,1,80
1043,2026-05-12,Mouse,Accessories,Lucknow,2,680
1044,2026-05-19,Power Bank,Accessories,Kanpur,2,1430
1045,2026-05-02,Study Table,Furniture,Raebareli,2,6690
1046,2026-01-25,USB Cable,Accessories,Kanpur,1,360
1047,2026-04-16,Mouse,Accessories,Varanasi,4,730
1048,2026-01-16,Laptop,Electronics,Lucknow,4,46030
1049,2026-02-19,Smartphone,Electronics,Kanpur,2,22080
1050,2026-02-16,Tablet,Electronics,Varanasi,3,15940
1051,2026-05-21,Smartphone,Electronics,Varanasi,1,21010
1052,2026-01-24,Office Chair,Furniture,Lucknow,2,8220
1053,2026-02-24,Power Bank,Accessories,Varanasi,4,1460
1054,2026-01-01,Tablet,Electronics,Varanasi,4,15620
1055,2026-04-19,Power Bank,Accessories,Prayagraj,5,1420
1056,2026-02-18,Power Bank,Accessories,Kanpur,3,1360
1057,2026-05-19,Laptop,Electronics,Raebareli,1,46120
1058,2026-05-30,Laptop,Electronics,Lucknow,4,45010
1059,2026-01-15,Office Chair,Furniture,Kanpur,5,8140
1060,2026-06-02,Tablet,Electronics,Lucknow,1,16280
1061,2026-01-31,Headphones,Electronics,Varanasi,5,2440
1062,2026-06-08,Study Table,Furniture,Lucknow,1,6450
1063,2026-05-14,Study Table,Furniture,Raebareli,3,6780
1064,2026-03-03,Headphones,Electronics,Prayagraj,3,2470
1065,2026-04-28,Notebook,Stationery,Prayagraj,3,130
1066,2026-04-28,Smartphone,Electronics,Lucknow,5,23100
1067,2026-05-18,Smartphone,Electronics,Lucknow,2,22010
1068,2026-01-18,Tablet,Electronics,Prayagraj,2,15790
1069,2026-05-20,Tablet,Electronics,Varanasi,3,16180
1070,2026-01-03,Notebook,Stationery,Raebareli,5,120
1071,2026-02-04,Notebook,Stationery,Lucknow,3,120
1072,2026-02-09,Smartphone,Electronics,Raebareli,3,21520
1073,2026-02-22,Headphones,Electronics,Prayagraj,3,2500
1074,2026-01-24,Keyboard,Accessories,Lucknow,4,1240
1075,2026-03-27,Laptop,Electronics,Lucknow,2,45620
1076,2026-04-24,Keyboard,Accessories,Kanpur,5,1220
1077,2026-01-29,Office Chair,Furniture,Lucknow,1,8880
1078,2026-05-20,Pen Pack,Stationery,Kanpur,1,80
1079,2026-02-07,Study Table,Furniture,Raebareli,4,6260
1080,2026-01-11,Keyboard,Accessories,Prayagraj,3,1170
1081,2026-04-01,Headphones,Electronics,Lucknow,5,2600
1082,2026-02-09,USB Cable,Accessories,Raebareli,2,360
1083,2026-01-07,Tablet,Electronics,Varanasi,2,16380
1084,2026-06-21,Mouse,Accessories,Varanasi,2,680
1085,2026-04-08,Pen Pack,Stationery,Lucknow,1,80
1086,2026-04-28,Headphones,Electronics,Kanpur,3,2450
1087,2026-01-07,Headphones,Electronics,Kanpur,2,2470
1088,2026-03-13,Keyboard,Accessories,Lucknow,3,1220
1089,2026-03-26,USB Cable,Accessories,Raebareli,1,340
1090,2026-05-29,Keyboard,Accessories,Kanpur,3,1140
1091,2026-03-30,Study Table,Furniture,Varanasi,3,6460
1092,2026-04-09,Office Chair,Furniture,Lucknow,5,8240
1093,2026-01-01,Laptop,Electronics,Varanasi,5,46920
1094,2026-04-04,Office Chair,Furniture,Kanpur,4,8130
1095,2026-06-09,Notebook,Stationery,Prayagraj,3,120
1096,2026-05-10,Smartphone,Electronics,Prayagraj,3,22370
1097,2026-06-28,Mouse,Accessories,Varanasi,3,700
1098,2026-06-20,Headphones,Electronics,Varanasi,4,2540
1099,2026-05-26,Tablet,Electronics,Raebareli,3,15850
1100,2026-03-15,Laptop,Electronics,Prayagraj,2,44680
1101,2026-06-17,Study Table,Furniture,Raebareli,3,6480
1102,2026-05-11,Power Bank,Accessories,Kanpur,4,1440
1103,2026-06-18,Pen Pack,Stationery,Kanpur,1,80
1104,2026-03-27,Notebook,Stationery,Raebareli,1,120
1105,2026-02-27,Headphones,Electronics,Prayagraj,2,2410
1106,2026-05-02,Laptop,Electronics,Kanpur,5,46570
1107,2026-04-17,Smartphone,Electronics,Varanasi,5,21330
1108,2026-05-07,Pen Pack,Stationery,Varanasi,4,80
1109,2026-01-28,Notebook,Stationery,Lucknow,4,120
1110,2026-04-29,Pen Pack,Stationery,Raebareli,1,80
1111,2026-02-04,Smartphone,Electronics,Varanasi,4,22370
1112,2026-03-23,Office Chair,Furniture,Raebareli,4,8600
1113,2026-04-20,Pen Pack,Stationery,Raebareli,5,80
1114,2026-04-26,Tablet,Electronics,Varanasi,3,16400
1115,2026-05-14,Notebook,Stationery,Prayagraj,4,120
1116,2026-01-20,Keyboard,Accessories,Varanasi,3,1170
1117,2026-05-19,Mouse,Accessories,Prayagraj,1,670
1118,2026-06-27,Headphones,Electronics,Varanasi,2,2550
1119,2026-04-15,Smartphone,Electronics,Varanasi,3,22090
1120,2026-02-22,USB Cable,Accessories,Lucknow,4,350
1121,2026-05-28,Study Table,Furniture,Lucknow,4,6490
1122,2026-04-10,Mouse,Accessories,Prayagraj,4,700
1123,2026-06-04,Pen Pack,Stationery,Raebareli,2,80
1124,2026-05-05,Keyboard,Accessories,Varanasi,1,1190
1125,2026-02-12,Notebook,Stationery,Varanasi,4,130
1126,2026-01-07,Study Table,Furniture,Raebareli,4,6560
1127,2026-01-22,Notebook,Stationery,Lucknow,4,120
1128,2026-01-13,Power Bank,Accessories,Kanpur,3,1380
1129,2026-03-25,Headphones,Electronics,Varanasi,3,2570
1130,2026-04-18,USB Cable,Accessories,Prayagraj,3,360
1131,2026-05-19,Power Bank,Accessories,Lucknow,1,1470
1132,2026-06-16,Mouse,Accessories,Kanpur,1,720
1133,2026-01-08,Notebook,Stationery,Lucknow,2,120
1134,2026-02-09,Laptop,Electronics,Raebareli,2,43320
1135,2026-05-25,Notebook,Stationery,Lucknow,2,120
1136,2026-02-12,Keyboard,Accessories,Prayagraj,5,1210
1137,2026-02-11,Pen Pack,Stationery,Lucknow,3,80
1138,2026-05-28,Laptop,Electronics,Prayagraj,4,44530
1139,2026-01-20,Pen Pack,Stationery,Kanpur,5,80
1140,2026-01-27,Notebook,Stationery,Kanpur,3,120
1141,2026-05-25,Study Table,Furniture,Lucknow,1,6400
1142,2026-01-18,USB Cable,Accessories,Prayagraj,5,360
1143,2026-05-06,Laptop,Electronics,Varanasi,1,44700
1144,2026-02-09,Mouse,Accessories,Varanasi,4,680
1145,2026-06-07,Office Chair,Furniture,Prayagraj,5,8730
1146,2026-06-01,Power Bank,Accessories,Varanasi,3,1380
1147,2026-03-13,Headphones,Electronics,Lucknow,4,2440
1148,2026-06-06,Power Bank,Accessories,Raebareli,4,1380
1149,2026-02-16,Power Bank,Accessories,Prayagraj,4,1360
1150,2026-03-13,Keyboard,Accessories,Prayagraj,5,1220
1151,2026-01-03,Keyboard,Accessories,Raebareli,5,1250
1152,2026-04-15,Smartphone,Electronics,Kanpur,4,22120
1153,2026-06-15,Headphones,Electronics,Varanasi,4,2490
1154,2026-03-17,Laptop,Electronics,Lucknow,2,44570
1155,2026-06-19,Headphones,Electronics,Prayagraj,5,2470
1156,2026-03-30,Office Chair,Furniture,Raebareli,4,8920
1157,2026-04-01,Office Chair,Furniture,Prayagraj,4,8310
1158,2026-01-31,Keyboard,Accessories,Kanpur,2,1180
1159,2026-06-26,Pen Pack,Stationery,Raebareli,2,80
1160,2026-03-12,Pen Pack,Stationery,Varanasi,5,80
1161,2026-03-14,Office Chair,Furniture,Raebareli,1,8780
1162,2026-04-03,Keyboard,Accessories,Kanpur,2,1180
1163,2026-02-02,Pen Pack,Stationery,Raebareli,3,80
1164,2026-03-16,Laptop,Electronics,Raebareli,2,45620
1165,2026-01-04,Power Bank,Accessories,Lucknow,5,1370
1166,2026-03-29,Power Bank,Accessories,Varanasi,2,1470
1167,2026-01-30,Keyboard,Accessories,Varanasi,1,1190
1168,2026-06-11,Smartphone,Electronics,Raebareli,1,21230
1169,2026-01-22,Study Table,Furniture,Prayagraj,2,6250
1170,2026-06-02,USB Cable,Accessories,Raebareli,5,340
1171,2026-04-26,Office Chair,Furniture,Varanasi,4,8330
1172,2026-03-20,Study Table,Furniture,Varanasi,5,6580
1173,2026-02-23,Study Table,Furniture,Lucknow,2,6350
1174,2026-03-03,Smartphone,Electronics,Kanpur,2,22110
1175,2026-04-15,Tablet,Electronics,Lucknow,4,16300
1176,2026-01-09,Power Bank,Accessories,Prayagraj,2,1370
1177,2026-01-19,Keyboard,Accessories,Varanasi,2,1250
1178,2026-06-19,Notebook,Stationery,Raebareli,2,120
1179,2026-06-15,Office Chair,Furniture,Kanpur,2,8850
1180,2026-01-16,Tablet,Electronics,Lucknow,2,16470
1181,2026-03-15,Study Table,Furniture,Raebareli,4,6260
